date,value
2018-01-01,169.3
2018-01-02,169.3
2018-01-03,169.3
2018-01-04,169.3
2018-01-05,169.3
2018-01-06,169.3
2018-01-07,169.3
2018-01-08,169.3
2018-01-09,169.3
2018-01-10,169.3
2018-01-11,169.3
2018-01-12,169.3
2018-01-13,169.3
2018-01-14,169.3
2018-01-15,169.3
2018-01-16,169.3
2018-01-17,169.3
2018-01-18,169.3
2018-01-19,169.3
2018-01-20,169.3
2018-01-21,169.3
2018-01-22,169.3
2018-01-23,169.3
2018-01-24,169.3
2018-01-25,169.3
2018-01-26,169.3
2018-01-27,169.3
2018-01-28,169.3
2018-01-29,169.3
2018-01-30,169.3
2018-01-31,169.3
2018-02-01,177.8
2018-02-02,177.8
2018-02-03,177.8
2018-02-04,177.8
2018-02-05,177.8
2018-02-06,177.8
2018-02-07,177.8
2018-02-08,177.8
2018-02-09,177.8
2018-02-10,177.8
2018-02-11,177.8
2018-02-12,177.8
2018-02-13,177.8
2018-02-14,177.8
2018-02-15,177.8
2018-02-16,177.8
2018-02-17,177.8
2018-02-18,177.8
2018-02-19,177.8
2018-02-20,177.8
2018-02-21,177.8
2018-02-22,177.8
2018-02-23,177.8
2018-02-24,177.8
2018-02-25,177.8
2018-02-26,177.8
2018-02-27,177.8
2018-02-28,177.8
2018-03-01,172.6
2018-03-02,172.6
2018-03-03,172.6
2018-03-04,172.6
2018-03-05,172.6
2018-03-06,172.6
2018-03-07,172.6
2018-03-08,172.6
2018-03-09,172.6
2018-03-10,172.6
2018-03-11,172.6
2018-03-12,172.6
2018-03-13,172.6
2018-03-14,172.6
2018-03-15,172.6
2018-03-16,172.6
2018-03-17,172.6
2018-03-18,172.6
2018-03-19,172.6
2018-03-20,172.6
2018-03-21,172.6
2018-03-22,172.6
2018-03-23,172.6
2018-03-24,172.6
2018-03-25,172.6
2018-03-26,172.6
2018-03-27,172.6
2018-03-28,172.6
2018-03-29,172.6
2018-03-30,172.6
2018-03-31,172.6
2018-04-01,169.9
2018-04-02,169.9
2018-04-03,169.9
2018-04-04,169.9
2018-04-05,169.9
2018-04-06,169.9
2018-04-07,169.9
2018-04-08,169.9
2018-04-09,169.9
2018-04-10,169.9
2018-04-11,169.9
2018-04-12,169.9
2018-04-13,169.9
2018-04-14,169.9
2018-04-15,169.9
2018-04-16,169.9
2018-04-17,169.9
2018-04-18,169.9
2018-04-19,169.9
2018-04-20,169.9
2018-04-21,169.9
2018-04-22,169.9
2018-04-23,169.9
2018-04-24,169.9
2018-04-25,169.9
2018-04-26,169.9
2018-04-27,169.9
2018-04-28,169.9
2018-04-29,169.9
2018-04-30,169.9
2018-05-01,180.2
2018-05-02,180.2
2018-05-03,180.2
2018-05-04,180.2
2018-05-05,180.2
2018-05-06,180.2
2018-05-07,180.2
2018-05-08,180.2
2018-05-09,180.2
2018-05-10,180.2
2018-05-11,180.2
2018-05-12,180.2
2018-05-13,180.2
2018-05-14,180.2
2018-05-15,180.2
2018-05-16,180.2
2018-05-17,180.2
2018-05-18,180.2
2018-05-19,180.2
2018-05-20,180.2
2018-05-21,180.2
2018-05-22,180.2
2018-05-23,180.2
2018-05-24,180.2
2018-05-25,180.2
2018-05-26,180.2
2018-05-27,180.2
2018-05-28,180.2
2018-05-29,180.2
2018-05-30,180.2
2018-05-31,180.2
2018-06-01,187.5
2018-06-02,187.5
2018-06-03,187.5
2018-06-04,187.5
2018-06-05,187.5
2018-06-06,187.5
2018-06-07,187.5
2018-06-08,187.5
2018-06-09,187.5
2018-06-10,187.5
2018-06-11,187.5
2018-06-12,187.5
2018-06-13,187.5
2018-06-14,187.5
2018-06-15,187.5
2018-06-16,187.5
2018-06-17,187.5
2018-06-18,187.5
2018-06-19,187.5
2018-06-20,187.5
2018-06-21,187.5
2018-06-22,187.5
2018-06-23,187.5
2018-06-24,187.5
2018-06-25,187.5
2018-06-26,187.5
2018-06-27,187.5
2018-06-28,187.5
2018-06-29,187.5
2018-06-30,187.5
2018-07-01,192.0
2018-07-02,192.0
2018-07-03,192.0
2018-07-04,192.0
2018-07-05,192.0
2018-07-06,192.0
2018-07-07,192.0
2018-07-08,192.0
2018-07-09,192.0
2018-07-10,192.0
2018-07-11,192.0
2018-07-12,192.0
2018-07-13,192.0
2018-07-14,192.0
2018-07-15,192.0
2018-07-16,192.0
2018-07-17,192.0
2018-07-18,192.0
2018-07-19,192.0
2018-07-20,192.0
2018-07-21,192.0
2018-07-22,192.0
2018-07-23,192.0
2018-07-24,192.0
2018-07-25,192.0
2018-07-26,192.0
2018-07-27,192.0
2018-07-28,192.0
2018-07-29,192.0
2018-07-30,192.0
2018-07-31,192.0
2018-08-01,189.4
2018-08-02,189.4
2018-08-03,189.4
2018-08-04,189.4
2018-08-05,189.4
2018-08-06,189.4
2018-08-07,189.4
2018-08-08,189.4
2018-08-09,189.4
2018-08-10,189.4
2018-08-11,189.4
2018-08-12,189.4
2018-08-13,189.4
2018-08-14,189.4
2018-08-15,189.4
2018-08-16,189.4
2018-08-17,189.4
2018-08-18,189.4
2018-08-19,189.4
2018-08-20,189.4
2018-08-21,189.4
2018-08-22,189.4
2018-08-23,189.4
2018-08-24,189.4
2018-08-25,189.4
2018-08-26,189.4
2018-08-27,189.4
2018-08-28,189.4
2018-08-29,189.4
2018-08-30,189.4
2018-08-31,189.4
2018-09-01,189.1
2018-09-02,189.1
2018-09-03,189.1
2018-09-04,189.1
2018-09-05,189.1
2018-09-06,189.1
2018-09-07,189.1
2018-09-08,189.1
2018-09-09,189.1
2018-09-10,189.1
2018-09-11,189.1
2018-09-12,189.1
2018-09-13,189.1
2018-09-14,189.1
2018-09-15,189.1
2018-09-16,189.1
2018-09-17,189.1
2018-09-18,189.1
2018-09-19,189.1
2018-09-20,189.1
2018-09-21,189.1
2018-09-22,189.1
2018-09-23,189.1
2018-09-24,189.1
2018-09-25,189.1
2018-09-26,189.1
2018-09-27,189.1
2018-09-28,189.1
2018-09-29,189.1
2018-09-30,189.1
2018-10-01,197.1
2018-10-02,197.1
2018-10-03,197.1
2018-10-04,197.1
2018-10-05,197.1
2018-10-06,197.1
2018-10-07,197.1
2018-10-08,197.1
2018-10-09,197.1
