date,value
2018-01-12,169.3
2018-01-13,169.3
2018-01-14,169.30000000000004
2018-01-15,169.3
2018-01-16,169.3
2018-01-17,169.3
2018-01-18,169.30000000000004
2018-01-19,169.3
2018-01-20,169.3
2018-01-21,169.3
2018-01-22,169.30000000000004
2018-01-23,169.3
2018-01-24,169.3
2018-01-25,169.3
2018-01-26,169.30000000000004
2018-01-27,169.3
2018-01-28,169.3
2018-01-29,169.3
2018-01-30,169.30000000000004
2018-01-31,169.3
2018-02-01,170.00833333333335
2018-02-02,170.7166666666667
2018-02-03,171.42499999999998
2018-02-04,172.13333333333333
2018-02-05,172.8416666666667
2018-02-06,173.55000000000004
2018-02-07,174.25833333333333
2018-02-08,174.96666666666667
2018-02-09,175.67500000000004
2018-02-10,176.38333333333335
2018-02-11,177.09166666666667
2018-02-12,177.79999999999998
2018-02-13,177.80000000000004
2018-02-14,177.80000000000004
2018-02-15,177.79999999999998
2018-02-16,177.79999999999998
2018-02-17,177.80000000000004
2018-02-18,177.80000000000004
2018-02-19,177.79999999999998
2018-02-20,177.79999999999998
2018-02-21,177.80000000000004
2018-02-22,177.80000000000004
2018-02-23,177.79999999999998
2018-02-24,177.79999999999998
2018-02-25,177.80000000000004
2018-02-26,177.80000000000004
2018-02-27,177.79999999999998
2018-02-28,177.79999999999998
2018-03-01,177.36666666666667
2018-03-02,176.93333333333337
2018-03-03,176.5
2018-03-04,176.0666666666667
2018-03-05,175.63333333333333
2018-03-06,175.20000000000002
2018-03-07,174.76666666666665
2018-03-08,174.33333333333334
2018-03-09,173.9
2018-03-10,173.46666666666667
2018-03-11,173.0333333333333
2018-03-12,172.6
2018-03-13,172.6
2018-03-14,172.6
2018-03-15,172.6
2018-03-16,172.6
2018-03-17,172.6
2018-03-18,172.6
2018-03-19,172.6
2018-03-20,172.6
2018-03-21,172.6
2018-03-22,172.6
2018-03-23,172.6
2018-03-24,172.6
2018-03-25,172.6
2018-03-26,172.6
2018-03-27,172.6
2018-03-28,172.6
2018-03-29,172.6
2018-03-30,172.6
2018-03-31,172.6
2018-04-01,172.375
2018-04-02,172.14999999999998
2018-04-03,171.92499999999998
2018-04-04,171.70000000000002
2018-04-05,171.475
2018-04-06,171.25
2018-04-07,171.025
2018-04-08,170.79999999999998
2018-04-09,170.57500000000002
2018-04-10,170.35
2018-04-11,170.125
2018-04-12,169.9
2018-04-13,169.9
2018-04-14,169.9
2018-04-15,169.9
2018-04-16,169.9
2018-04-17,169.9
2018-04-18,169.9
2018-04-19,169.9
2018-04-20,169.9
2018-04-21,169.9
2018-04-22,169.9
2018-04-23,169.9
2018-04-24,169.9
2018-04-25,169.9
2018-04-26,169.9
2018-04-27,169.9
2018-04-28,169.9
2018-04-29,169.9
2018-04-30,169.9
2018-05-01,170.75833333333333
2018-05-02,171.61666666666667
2018-05-03,172.475
2018-05-04,173.33333333333334
2018-05-05,174.19166666666663
2018-05-06,175.04999999999998
2018-05-07,175.90833333333333
2018-05-08,176.76666666666665
2018-05-09,177.625
2018-05-10,178.48333333333332
2018-05-11,179.34166666666667
2018-05-12,180.20000000000002
2018-05-13,180.19999999999996
2018-05-14,180.19999999999996
2018-05-15,180.20000000000002
2018-05-16,180.20000000000002
2018-05-17,180.19999999999996
2018-05-18,180.19999999999996
2018-05-19,180.20000000000002
2018-05-20,180.20000000000002
2018-05-21,180.19999999999996
2018-05-22,180.19999999999996
2018-05-23,180.20000000000002
2018-05-24,180.20000000000002
2018-05-25,180.19999999999996
2018-05-26,180.19999999999996
2018-05-27,180.20000000000002
2018-05-28,180.20000000000002
2018-05-29,180.19999999999996
2018-05-30,180.19999999999996
2018-05-31,180.20000000000002
2018-06-01,180.8083333333333
